price,           description   ,                            area,                                  url
1.2,"1 BHK Flat for Sale in Royal Pristo, Royal Pristo, Malad East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/royal-pristo-malad-east-mumbai-pdpid-4d4235313233303339
1.81,"2 BHK Flat for Sale in Northern Hills, Northern Hills, Dahisar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/northern-hills-dahisar-east-mumbai-pdpid-4d4235323333333737
82.6,"1 BHK Flat for Sale in RNA NG Bliss, RNA NG Bliss, Mira Road East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rna-ng-bliss-mira-road-east-mumbai-pdpid-4d4235343230343833
2.45,"2 BHK Flat for Sale in Sheth Codename Younique, Sheth Codename Younique, Chunabhatti, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sheth-codename-younique-chunabhatti-mumbai-pdpid-4d4235343232373239
2.45,"2 BHK Flat for Sale in ANJ Ananda Anushasan, ANJ Ananda Anushasan, Mahim, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/anj-ananda-anushasan-mahim-mumbai-pdpid-4d4235343233383135
2.9,"3 BHK Flat for Sale in Rejuve 360, Rejuve 360, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rejuve-360-mulund-west-mumbai-pdpid-4d4235313238303331
3.62,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
3.48,"3 BHK Flat for Sale in The Cozy Corner, The Cozy Corner, Ghatkopar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/the-cozy-corner-ghatkopar-east-mumbai-pdpid-4d4235343233323637
9.99,"4 BHK Flat for Sale in Rishabraj Trident, Rishabraj Trident, Juhu, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rishabraj-trident-juhu-mumbai-pdpid-4d4235343230303139
4.4,"4 BHK Flat for Sale in Runwal Sanctuary, Runwal Sanctuary, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-sanctuary-mulund-west-mumbai-pdpid-4d4235323233323635
5.49,"4 BHK Flat for Sale in Dosti Eastern Bay, Dosti Eastern Bay, Wadala East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/dosti-eastern-bay-wadala-east-mumbai-pdpid-4d4235313933373939
4.98,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
4.01,"3 BHK Flat for Sale in Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kanakia-silicon-valley-powai-mumbai-pdpid-4d4235313336343131
14.1,"4 BHK Flat for Sale in Lodha Adrina, Lodha Adrina, Worli, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
4.55,"3 BHK Flat for Sale in Bharat Auravistas, Bharat Auravistas, Andheri West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/bharat-auravistas-andheri-west-mumbai-pdpid-4d4235343232353837
1.31,"2 BHK Flat for Sale in Mulund West, Mumbai",,
5.29,"4 BHK Flat for Sale in Runwal Greens, Runwal Greens, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-greens-mulund-west-mumbai-pdpid-4d4235303236303136
1.82,"3 BHK Flat for Sale in Arthaya, Arthaya, Kandivali West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/arthaya-kandivali-west-mumbai-pdpid-4d4235343137373839
6.83,"3 BHK Flat for Sale in Platinum Solitaire, Platinum Solitaire, Vile Parle West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/platinum-solitaire-vile-parle-west-mumbai-pdpid-4d4235343233393233
3.03,"2 BHK Flat for Sale in ASMI Legacy, ASMI Legacy, Goregaon West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/asmi-legacy-goregaon-west-mumbai-pdpid-4d4235343234303733
5.5,"3 BHK Flat for Sale in Runwal 7 Mahalaxmi, Runwal 7 Mahalaxmi, Lower Parel, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-7-mahalaxmi-lower-parel-mumbai-pdpid-4d4235343234313435
9.13,"4 BHK Flat for Sale in Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-bellevue-byculla-mumbai-pdpid-4d4235333334373935
4.0,"3 BHK Flat for Sale in Vira Signature, Vira Signature, Vile Parle East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/vira-signature-vile-parle-east-mumbai-pdpid-4d4235343234323831
4.13,"4 BHK Flat for Sale in Runwal Sanctuary, Runwal Sanctuary, Mulund West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-sanctuary-mulund-west-mumbai-pdpid-4d4235323233323635
89.5,"3 BHK Flat for Sale in Vinay Unique Sky, Vinay Unique Sky, Virar West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/vinay-unique-sky-virar-west-mumbai-pdpid-4d4235333331383837
1.81,"2 BHK Flat for Sale in Godrej Nest, Godrej Nest, Kandivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/godrej-nest-kandivali-east-mumbai-pdpid-4d4235313236333739
7.96,"3 BHK Flat for Sale in Lodha Kiara, Lodha Kiara, Worli, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-kiara-worli-mumbai-pdpid-4d4235303931343532
1.56,"2 BHK Flat for Sale in SAHAKAR VATIKA, SAHAKAR VATIKA, Kandivali West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sahakar-vatika-kandivali-west-mumbai-pdpid-4d4235343234323935
6.37,"4 BHK Flat for Sale in Ajmera Eden, Ajmera Eden, Ghatkopar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/ajmera-eden-ghatkopar-east-mumbai-pdpid-4d4235343136323037
4.08,"3 BHK Flat for Sale in Island Cove, Island Cove, Mahim, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/island-cove-mahim-mumbai-pdpid-4d4235343230323135
10.29,"5 BHK Flat for Sale in Simana, Simana, Parel, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/simana-parel-mumbai-pdpid-4d4235333237313831
14.1,"4 BHK Flat for Sale in Lodha Adrina, Lodha Adrina, Worli, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-adrina-worli-mumbai-pdpid-4d4235343033313539
5.94,"4 BHK Flat for Sale in Godrej Reserve, Godrej Reserve, Kandivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/godrej-reserve-kandivali-east-mumbai-pdpid-4d4235343139303931
5.53,"3 BHK Flat for Sale in Oberoi Sky City, Oberoi Sky City, Borivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/oberoi-sky-city-borivali-east-mumbai-pdpid-4d4235303836303834
3.18,"3 BHK Flat for Sale in Rivali Park Moonrise, Rivali Park Moonrise, Borivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rivali-park-moonrise-borivali-east-mumbai-pdpid-4d4235343231303435
5.72,"4 BHK Flat for Sale in Sheth 72 West, Sheth 72 West, Andheri West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sheth-72-west-andheri-west-mumbai-pdpid-4d4235323733303131
4.96,"3 BHK Flat for Sale in Lodha Aura, Lodha Aura, Wadala, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-aura-wadala-mumbai-pdpid-4d4235333239353839
2.48,"2 BHK Flat for Sale in Elegant Navratnamala CHS, Elegant Navratnamala CHS, Santacruz East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/elegant-navratnamala-chs-santacruz-east-mumbai-pdpid-4d4235313036343131
2.55,"2 BHK Flat for Sale in Om Shree Ganesh, Om Shree Ganesh, Goregaon East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/om-shree-ganesh-goregaon-east-mumbai-pdpid-4d4235343232313337
2.03,"2 BHK Flat for Sale in Mulund West, Mumbai",,
6.35,"4 BHK Flat for Sale in Kalpataru Advay, Kalpataru Advay, Borivali West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333
6.43,"4 BHK Flat for Sale in One Meraki, One Meraki, Chembur, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/one-meraki-chembur-mumbai-pdpid-4d4235333936353831
5.5,"3 BHK Flat for Sale in Runwal 7 Mahalaxmi, Runwal 7 Mahalaxmi, Lower Parel, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-7-mahalaxmi-lower-parel-mumbai-pdpid-4d4235343234313435
1.74,"3 BHK Flat for Sale in Sanghvi Ecocity, Sanghvi Ecocity, Mira Road Area, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sanghvi-ecocity-mira-road-mumbai-pdpid-4d4235303733323532
1.5,"3 BHK Flat for Sale in Modirealty Acacia, Modirealty Acacia, Dahisar East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/modirealty-acacia-dahisar-east-mumbai-pdpid-4d4235343232393933
1.48,"2 BHK Flat for Sale in Sapphire Dotom Isle, Sapphire Dotom Isle, Malad West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/sapphire-dotom-isle-malad-west-mumbai-pdpid-4d4235343133383337
6.43,"3 BHK Flat for Sale in Lodha Divino, Lodha Divino, Matunga East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-divino-matunga-east-mumbai-pdpid-4d4235333934353139
5.33,"3 BHK Flat for Sale in Piramal Mahalaxmi, Piramal Mahalaxmi, Mahalakshmi, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/piramal-mahalaxmi-mahalakshmi-mumbai-pdpid-4d4235313134393335
3.67,"3 BHK Flat for Sale in Raheja Antares, Raheja Antares, Kanjurmarg, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/raheja-antares-kanjurmarg-mumbai-pdpid-4d4235343233303733
3.72,"3 BHK Flat for Sale in Ajmera Manor, Ajmera Manor, Borivali, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/ajmera-manor-borivali-mumbai-pdpid-4d4235313832313639
3.45,"3 BHK Flat for Sale in Edmont Aurelia, Edmont Aurelia, Kandivali West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835
2.36,"2 BHK Flat for Sale in Codename Triumph Tower 1, Codename Triumph Tower 1, Bhandup West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/codename-triumph-tower-1-bhandup-west-mumbai-pdpid-4d4235343230343733
4.62,"3 BHK Flat for Sale in Piramal Aranya , Piramal Aranya, Byculla, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/piramal-aranya-byculla-mumbai-pdpid-4d4235303933313135
4.54,"4 BHK Flat for Sale in Mahindra Vista, Mahindra Vista, Kandivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/mahindra-vista-kandivali-east-mumbai-pdpid-4d4235343138383837
3.97,"4 BHK Flat for Sale in Chandak Greenairy, Chandak Greenairy, Borivali East, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/chandak-greenairy-borivali-east-mumbai-pdpid-4d4235333334393239
15.66,"5 BHK Flat for Sale in Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/lodha-bellevue-byculla-mumbai-pdpid-4d4235333334373935
13.63,"4 BHK Flat for Sale in Rustomjee Crown, Rustomjee Crown, Prabhadevi, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/rustomjee-crown-prabhadevi-mumbai-pdpid-4d4235313230313935
2.54,"2 BHK Flat for Sale in Codename Triumph Tower 1, Codename Triumph Tower 1, Bhandup West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/codename-triumph-tower-1-bhandup-west-mumbai-pdpid-4d4235343230343733
1.9,"2 BHK Flat for Sale in Runwal Forests, Runwal Forests, Kanjurmarg West, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/runwal-forests-kanjurmarg-west-mumbai-pdpid-4d4235303238383430
7.27,"3 BHK Flat for Sale in 10 BKC, 10 BKC, Bandra Kurla Complex, Mumbai",,https://www.magicbricks.comhttps://www.magicbricks.com/10-bkc-bandra-kurla-complex-mumbai-pdpid-4d4235303933383733
